workerid,trial,story,condition,rt,world,activity,Qtype,rating,experiment,eligible
2405,3,3_feed_dog,after,47472,ordinary,habitual,interaction,84.47,period,True
2405,4,14_clothes,after,34104,ordinary,non-habitual,interaction,32.22,period,True
2405,5,10_shampoo,after,51390,wonky,non-habitual,interaction,81.15,period,True
2405,6,1_grocery,after,37986,wonky,habitual,interaction,72.62,period,True
2406,1,5_fueling,after,71573,wonky,habitual,habitual,99.33,ohyeah,True
2406,2,6_swimming,before,43684,wonky,,habitual,86.28,ohyeah,True
2406,3,8_work,before,79251,ordinary,,habitual,100,ohyeah,True
2406,4,22_dishes,after,40889,ordinary,non-habitual,habitual,98.74,ohyeah,True
2406,5,17_airplane,after,48154,ordinary,habitual,habitual,100,ohyeah,True
2406,6,7_train,after,67382,wonky,non-habitual,habitual,100,ohyeah,True
2406,1,5_fueling,after,71573,wonky,habitual,non-habitual,0.97,ohyeah,True
2406,2,6_swimming,before,43684,wonky,,non-habitual,86.99,ohyeah,True
2406,3,8_work,before,79251,ordinary,,non-habitual,31.64,ohyeah,True
2406,4,22_dishes,after,40889,ordinary,non-habitual,non-habitual,91.81,ohyeah,True
2406,5,17_airplane,after,48154,ordinary,habitual,non-habitual,82.64,ohyeah,True
2406,6,7_train,after,67382,wonky,non-habitual,non-habitual,82.52,ohyeah,True
2406,1,5_fueling,after,71573,wonky,habitual,script,79.7,ohyeah,True
2406,2,6_swimming,before,43684,wonky,,script,84.99,ohyeah,True
2406,3,8_work,before,79251,ordinary,,script,97.8,ohyeah,True
2406,4,22_dishes,after,40889,ordinary,non-habitual,script,99.68,ohyeah,True
2406,5,17_airplane,after,48154,ordinary,habitual,script,71.36,ohyeah,True
2406,6,7_train,after,67382,wonky,non-habitual,script,98.86,ohyeah,True
2406,1,5_fueling,after,71573,wonky,habitual,interaction,49.74,ohyeah,True
2406,2,6_swimming,before,43684,wonky,,interaction,49.74,ohyeah,True
2406,3,8_work,before,79251,ordinary,,interaction,88.05,ohyeah,True
2406,4,22_dishes,after,40889,ordinary,non-habitual,interaction,98.39,ohyeah,True
2406,5,17_airplane,after,48154,ordinary,habitual,interaction,30.7,ohyeah,True
2406,6,7_train,after,67382,wonky,non-habitual,interaction,17.78,ohyeah,True
